,ID,Province_State,Date,Confirmed,Deaths
44,44,Vermont,04-12-2020,727,27
94,94,Vermont,04-13-2020,748,28
144,144,Vermont,04-14-2020,752,29
194,194,Vermont,04-15-2020,759,29
244,244,Vermont,04-16-2020,774,33
294,294,Vermont,04-17-2020,779,35
344,344,Vermont,04-18-2020,803,38
394,394,Vermont,04-19-2020,813,38
444,444,Vermont,04-20-2020,816,38
494,494,Vermont,04-21-2020,818,40
544,544,Vermont,04-22-2020,823,40
594,594,Vermont,04-23-2020,825,43
644,644,Vermont,04-24-2020,827,44
694,694,Vermont,04-25-2020,843,46
744,744,Vermont,04-26-2020,851,46
794,794,Vermont,04-27-2020,855,47
844,844,Vermont,04-28-2020,862,47
894,894,Vermont,04-29-2020,862,47
944,944,Vermont,04-30-2020,866,49
994,994,Vermont,05-01-2020,879,50
1044,1044,Vermont,05-02-2020,886,51
1094,1094,Vermont,05-03-2020,897,53
1144,1144,Vermont,05-04-2020,902,52
1194,1194,Vermont,05-05-2020,907,52
1244,1244,Vermont,05-06-2020,908,52
1294,1294,Vermont,05-07-2020,916,53
1344,1344,Vermont,05-08-2020,919,53
1394,1394,Vermont,05-09-2020,921,53
1444,1444,Vermont,05-10-2020,927,53
1494,1494,Vermont,05-11-2020,926,53
1544,1544,Vermont,05-12-2020,927,53
1594,1594,Vermont,05-13-2020,929,53
1644,1644,Vermont,05-14-2020,932,53
1694,1694,Vermont,05-15-2020,933,53
1744,1744,Vermont,05-16-2020,934,53
1794,1794,Vermont,05-17-2020,940,54
1844,1844,Vermont,05-18-2020,940,54
1894,1894,Vermont,05-19-2020,944,54
1944,1944,Vermont,05-20-2020,944,54
1994,1994,Vermont,05-21-2020,950,54
2044,2044,Vermont,05-22-2020,952,54
2094,2094,Vermont,05-23-2020,954,54
2144,2144,Vermont,05-24-2020,956,54
2194,2194,Vermont,05-25-2020,962,54
2244,2244,Vermont,05-26-2020,967,54
2294,2294,Vermont,05-27-2020,971,54
2344,2344,Vermont,05-28-2020,974,55
2394,2394,Vermont,05-29-2020,975,55
2444,2444,Vermont,05-30-2020,977,55
2494,2494,Vermont,05-31-2020,981,55
2544,2544,Vermont,06-01-2020,983,55
2594,2594,Vermont,06-02-2020,988,55
2644,2644,Vermont,06-03-2020,990,55
2694,2694,Vermont,06-04-2020,1026,55
2744,2744,Vermont,06-05-2020,1027,55
2794,2794,Vermont,06-06-2020,1046,55
2844,2844,Vermont,06-07-2020,1063,55
2894,2894,Vermont,06-08-2020,1075,55
2944,2944,Vermont,06-09-2020,1084,55
2994,2994,Vermont,06-10-2020,1095,55
3044,3044,Vermont,06-11-2020,1110,55
3094,3094,Vermont,06-12-2020,1119,55
3144,3144,Vermont,06-13-2020,1125,55
3194,3194,Vermont,06-14-2020,1127,55
3244,3244,Vermont,06-15-2020,1128,55
3294,3294,Vermont,06-16-2020,1131,55
3344,3344,Vermont,06-17-2020,1130,55
3394,3394,Vermont,06-18-2020,1135,56
3444,3444,Vermont,06-19-2020,1144,56
3494,3494,Vermont,06-20-2020,1147,56
3544,3544,Vermont,06-21-2020,1159,56
3594,3594,Vermont,06-22-2020,1163,56
3644,3644,Vermont,06-23-2020,1164,56
3694,3694,Vermont,06-24-2020,1184,56
3744,3744,Vermont,06-25-2020,1191,56
3794,3794,Vermont,06-26-2020,1198,56
3844,3844,Vermont,06-27-2020,1200,56
3894,3894,Vermont,06-28-2020,1202,56
3944,3944,Vermont,06-29-2020,1208,56
3994,3994,Vermont,06-30-2020,1208,56
4044,4044,Vermont,07-01-2020,1210,56
4094,4094,Vermont,07-02-2020,1227,56
4144,4144,Vermont,07-03-2020,1236,56
4194,4194,Vermont,07-04-2020,1238,56
4244,4244,Vermont,07-05-2020,1249,56
4294,4294,Vermont,07-06-2020,1251,56
4344,4344,Vermont,07-07-2020,1254,56
4394,4394,Vermont,07-08-2020,1256,56
4444,4444,Vermont,07-09-2020,1272,56
4494,4494,Vermont,07-10-2020,1277,56
4544,4544,Vermont,07-11-2020,1283,56
4594,4594,Vermont,07-12-2020,1296,56
4644,4644,Vermont,07-13-2020,1301,56
4694,4694,Vermont,07-14-2020,1305,56
4744,4744,Vermont,07-15-2020,1318,56
4794,4794,Vermont,07-16-2020,1325,56
4844,4844,Vermont,07-17-2020,1334,56
4894,4894,Vermont,07-18-2020,1338,56
4944,4944,Vermont,07-19-2020,1350,56
4994,4994,Vermont,07-20-2020,1360,56
5044,5044,Vermont,07-21-2020,1366,56
5094,5094,Vermont,07-22-2020,1366,56
5144,5144,Vermont,07-23-2020,1377,56
5194,5194,Vermont,07-24-2020,1385,56
5244,5244,Vermont,07-25-2020,1396,56
5294,5294,Vermont,07-26-2020,1400,56
5344,5344,Vermont,07-27-2020,1402,56
5394,5394,Vermont,07-28-2020,1405,56
5444,5444,Vermont,07-29-2020,1406,56
5494,5494,Vermont,07-30-2020,1407,57
5544,5544,Vermont,07-31-2020,1414,57
5594,5594,Vermont,08-01-2020,1421,57
5644,5644,Vermont,08-02-2020,1426,57
5694,5694,Vermont,08-03-2020,1427,57
5744,5744,Vermont,08-04-2020,1431,57
5794,5794,Vermont,08-05-2020,1436,57
5844,5844,Vermont,08-06-2020,1445,58
5894,5894,Vermont,08-07-2020,1448,58
5944,5944,Vermont,08-08-2020,1454,58
5994,5994,Vermont,08-09-2020,1459,58
6044,6044,Vermont,08-10-2020,1462,58
6094,6094,Vermont,08-11-2020,1472,58
6144,6144,Vermont,08-12-2020,1478,58
6194,6194,Vermont,08-13-2020,1484,58
6244,6244,Vermont,08-14-2020,1501,58
6294,6294,Vermont,08-15-2020,1509,58
6344,6344,Vermont,08-16-2020,1515,58
6394,6394,Vermont,08-17-2020,1527,58
6444,6444,Vermont,08-18-2020,1530,58
6494,6494,Vermont,08-19-2020,1533,58
6544,6544,Vermont,08-20-2020,1537,58
6594,6594,Vermont,08-21-2020,1541,58
6644,6644,Vermont,08-22-2020,1553,58
6694,6694,Vermont,08-23-2020,1557,58
6744,6744,Vermont,08-24-2020,1566,58
6794,6794,Vermont,08-25-2020,1572,58
6844,6844,Vermont,08-26-2020,1577,58
6894,6894,Vermont,08-27-2020,1586,58
6944,6944,Vermont,08-28-2020,1589,58
6994,6994,Vermont,08-29-2020,1605,58
7044,7044,Vermont,08-30-2020,1616,58
7094,7094,Vermont,08-31-2020,1624,58
